               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.013891,           0.0041022,           0.0010226,             0.99428,             0.97519,             0.98839,              0.8871,           0.0089872,           0.0024973,          0.00064418,            0.007888,            0.007888,            0.007888
                 130,            0.014098,           0.0041384,          0.00096135,             0.99431,             0.97528,             0.98839,              0.8875,            0.008983,           0.0024957,          0.00064285,           0.0078715,           0.0078715,           0.0078715
                 131,            0.014346,           0.0043158,           0.0013905,             0.99432,             0.97526,             0.98839,             0.88804,           0.0089815,           0.0024947,          0.00064483,            0.007855,            0.007855,            0.007855
                 132,            0.014195,           0.0042341,            0.001058,             0.99427,             0.97525,             0.98631,             0.88765,           0.0089774,           0.0024954,          0.00065075,           0.0078385,           0.0078385,           0.0078385
                 133,            0.014027,           0.0041364,           0.0010153,             0.99422,             0.97527,              0.9884,             0.88967,           0.0089713,           0.0024954,          0.00065286,            0.007822,            0.007822,            0.007822
                 134,            0.014135,           0.0042101,           0.0012522,             0.99421,             0.97536,              0.9884,             0.89076,           0.0089646,           0.0024946,            0.000655,           0.0078055,           0.0078055,           0.0078055
                 135,            0.013886,           0.0040856,           0.0011184,             0.99423,             0.97537,              0.9884,             0.89197,           0.0089526,            0.002493,          0.00065665,            0.007789,            0.007789,            0.007789
                 136,            0.013905,           0.0040838,           0.0010508,             0.99634,             0.97748,              0.9897,             0.89199,           0.0089493,           0.0024924,          0.00065694,           0.0077725,           0.0077725,           0.0077725
                 137,            0.013854,            0.004167,           0.0011338,             0.99634,              0.9775,              0.9897,             0.89143,           0.0089453,           0.0024921,            0.000658,            0.007756,            0.007756,            0.007756
                 138,            0.013821,           0.0041127,          0.00098508,             0.99426,              0.9755,             0.98832,             0.89132,           0.0089457,           0.0024918,          0.00065815,           0.0077395,           0.0077395,           0.0077395
                 139,            0.013644,           0.0041023,           0.0010581,             0.99426,             0.97556,             0.98836,             0.89169,           0.0089384,           0.0024907,          0.00065706,            0.007723,            0.007723,            0.007723
                 140,            0.013783,           0.0041469,           0.0010252,             0.99424,              0.9756,             0.98837,             0.89187,           0.0089276,           0.0024886,          0.00065671,           0.0077065,           0.0077065,           0.0077065
